名称,价格,卖家,场次,备注,数量
c108花火火花明信片,12,必看置顶交易须知,,两周后到货,1
biso花火火花小卡,17.28,包快递时回复慢请见谅,,,2
风堇韩小卡,11,拍前请看主页置顶,,标价已含邮费,2
datsha芙芙,12.07,sukii,8月通贩,,2
hisa执行官小卡,30.2,阿帽同学的猫猫,8月场贩,少偶仆各1,1
少女冰神8月场贩小卡,18.19,拍前必看简介邮费参考非偏,,还未付款,1
风堇8月场贩小卡,9.1,拍前必看简介邮费参考非偏,,吃重复了......可出,1
昔涟8月场贩小卡,11.5,相遇于至冬,,,1
风堇8月场贩小卡,11.5,相遇于至冬,,,1
风堇摇摇乐,26,好累00,,未补邮，预计11月到货,1
dalmyang火花小卡,5.25,,,,2
make少女木偶证件照,6.4,77后不发货,,,1
elly知更鸟小卡,13,薄荷刊交易请看置顶,,约10月到,1
kani昔涟小卡,15,薄荷刊交易请看置顶,,约10月到,1
芙小卡加明信片套组,23,不接受市价涨跌的别买外谷,七月韩国场贩,,1
猫耳胡桃小卡,11.5,不接受市价涨跌的别买外谷,七月韩国场贩,,1
touyu少偶小卡透卡套组,45,不接受市价涨跌的别买外谷,七月韩国场贩,,1
shu昔涟知更鸟小卡套组,30,不接受市价涨跌的别买外谷,七月韩国场贩,,1
touyu花火火花立牌,135,不接受市价涨跌的别买外谷,七月韩国场贩,,1
touyu花火火花明信片,8,不接受市价涨跌的别买外谷,七月韩国场贩,,1
touyu花火火花小卡,22.5,不接受市价涨跌的别买外谷,七月韩国场贩,,1
火花明信片,8,不接受市价涨跌的别买外谷,七月韩国场贩,,1
火花小卡,7.5,不接受市价涨跌的别买外谷,七月韩国场贩,,1
阮梅小卡,11.5,不接受市价涨跌请勿买谷,七月韩国场贩,,1
mill哥伦比亚小亚克力,52,不接受市价涨跌的别买外谷,七月韩国场贩,,1
chaerom昔涟明信片加小卡,23,不接受市价涨跌的别买外谷,七月韩国场贩,,1
哥特风少偶小卡,22.5,不接受市价涨跌的别买外谷,七月韩国场贩,,1
ilsha少偶小卡,22.5,不接受市价涨跌的别买外谷,七月韩国场贩,,1
胡桃小卡,14.08,红薯不吃鱼,,,2
emong绫华小鸟拍立得,16.4,奥利奥椰抹茶,七月韩国场贩,,1
doomivi火花隐藏小卡,46.2,bomm,,邮费5未付,1
未知火花小卡,9,快递请不要发菜鸟速递,,,1
chunyi台湾同人小卡天堂地狱少偶,38.27,o夏未燃o,,,1
chunyi台湾同人小卡天堂地狱少偶,38.27,o夏未燃o,,,1
未知风堇小卡,,钱谷两空,,后改拼，需补邮,1
知更鸟官方满赠,15.24,天空与你之间,,,1
doomivi知更鸟吧唧,21.5,爱吃草莓吐司,0517Doo场贩,,1
doomivi棒棒糖知更鸟小卡,29.08,爱吃草莓吐司,0517Doo场贩,,2
doku风堇小卡,9.15,爱吃草莓吐司,,已到货，上次漏发,2
aven风堇明信片,5,我不是你的客服（树上有龙）,,复数可出，第一张收价6,1
ilsha风堇小卡,53.4,我不是你的客服（树上有龙）,,,2
nong风堇小卡,53.4,我不是你的客服（树上有龙）,,,4
chunyi台湾同人小卡地狱小草神,12,予凛且没钱版本,,,1
thea小卡盲抽4+1指定胡桃,67.91,我吃柠檬,,闲鱼小号,5
少偶小卡,21.13,我吃柠檬,,已出售，闲鱼小号,1
少偶小卡,21.13,我吃柠檬,,已出售，闲鱼小号,1
昔涟小卡,10.06,我吃柠檬,,闲鱼小号,1
眼镜知更鸟小卡,20,,26年5月通贩,已换1,2
花火火花set,20,,26年5月通贩,,1
可爱女角色小卡,70,,26年5月通贩,,1
玻璃闪花火场贩套卡,35,,,,1
知更鸟and周日小卡,26,,26年3月场贩,[object Object],1
粉背景知更鸟小卡,13,,26年3月场贩,,1
粉背景害羞知更鸟小卡,13,,26年3月场贩,,1
jisan知更鸟小卡,10,,26年3月场贩,,1
jisan知更鸟小卡,10,,26年3月场贩,,1
gh,10,,,,1
小贴纸们,72,,,,12（6种，每种2张）
小贴纸们,72,,,,12（6种，每种2张）
小贴纸们,72,,,,12（6种，每种2张）
rity花火流萤贴纸,15,,,一张半，花火加一整张,1.5
rity知更鸟小卡,8,,,,1
风堇幼态帽子拼卡,8,,,,1
风堇幼态单张,13,,,,1
风堇蝴蝶结小卡,20,,,,2
风堇赛飞儿set,40,,,,2
doku风堇小卡,10,,,多吃的，可出,1
bccch花火火花小卡,20,,,,1
bccch风堇小卡,20,,,,2
风堇线稿小卡,8,,,,1
JS鬼灭闪卡,109.24,,,豆香透恋蛇蝴蝶童磨各1,7
风堇寿司郎联动小卡,10,momo,,拼团发车,1
风堇寿司郎联动光锥卡,45,momo,,拼团发车,1
风堇寿司郎联动书签,10,momo,,拼团发车,1
昔涟寿司郎联动书签,24,momo,,拼团发车,1
